שם יישוב,סוג יישוב,סטטוס,כתיבים חלופיים,מה הנציג עושה,הערה,מקור,תאריך עדכון,כמות התקנות,תאריך התקנה אחרונה
אל סייד,יישוב / לא סווג,מתקינים,,להמשיך לבדיקת תשתית ושטח,לא סווג כסוג יישוב ספציפי - ניתן לעריכה,דורש בדיקה,,,
אל עזי,יישוב / לא סווג,מתקינים,,להמשיך לבדיקת תשתית ושטח,לא סווג כסוג יישוב ספציפי - ניתן לעריכה,דורש בדיקה,,,
אל עריאן,יישוב / לא סווג,מתקינים,,להמשיך לבדיקת תשתית ושטח,לא סווג כסוג יישוב ספציפי - ניתן לעריכה,דורש בדיקה,,,
אל עריש,יישוב / לא סווג,מתקינים,,להמשיך לבדיקת תשתית ושטח,לא סווג כסוג יישוב ספציפי - ניתן לעריכה,דורש בדיקה,,,
אל רום,יישוב / לא סווג,מתקינים,,להמשיך לבדיקת תשתית ושטח,לא סווג כסוג יישוב ספציפי - ניתן לעריכה,דורש בדיקה,,,
אל-עזי,יישוב / לא סווג,מתקינים,,להמשיך לבדיקת תשתית ושטח,לא סווג כסוג יישוב ספציפי - ניתן לעריכה,דורש בדיקה,,,
אל-עריאן,יישוב / לא סווג,מתקינים,,להמשיך לבדיקת תשתית ושטח,לא סווג כסוג יישוב ספציפי - ניתן לעריכה,דורש בדיקה,,,
אל-רום,יישוב / לא סווג,מתקינים,,להמשיך לבדיקת תשתית ושטח,לא סווג כסוג יישוב ספציפי - ניתן לעריכה,דורש בדיקה,,,
אלומה,יישוב / לא סווג,מתקינים,,להמשיך לבדיקת תשתית ושטח,לא סווג כסוג יישוב ספציפי - ניתן לעריכה,דורש בדיקה,,,
אלומות,יישוב / לא סווג,מתקינים,,להמשיך לבדיקת תשתית ושטח,לא סווג כסוג יישוב ספציפי - ניתן לעריכה,דורש בדיקה,,,
אלון הגליל,יישוב / לא סווג,מתקינים,,להמשיך לבדיקת תשתית ושטח,לא סווג כסוג יישוב ספציפי - ניתן לעריכה,דורש בדיקה,,1,יולי 2022
אלון מורה,התנחלות,מתקינים,,להמשיך לבדיקת תשתית ושטח,ברירת מחדל להתנחלות שאינה חריגה,סיווג ראשוני,,,
אלון שבות,התנחלות,מתקינים,,להמשיך לבדיקת תשתית ושטח,ברירת מחדל להתנחלות שאינה חריגה,סיווג ראשוני,,4,פברואר 2022
אלוני אבא,יישוב / לא סווג,מתקינים,,להמשיך לבדיקת תשתית ושטח,לא סווג כסוג יישוב ספציפי - ניתן לעריכה,דורש בדיקה,,1,אפריל 2023
אלוני הבשן,יישוב / לא סווג,מתקינים,,להמשיך לבדיקת תשתית ושטח,לא סווג כסוג יישוב ספציפי - ניתן לעריכה,דורש בדיקה,,,
אלוני יצחק,יישוב / לא סווג,מתקינים,,להמשיך לבדיקת תשתית ושטח,לא סווג כסוג יישוב ספציפי - ניתן לעריכה,דורש בדיקה,,,
אלונים,יישוב / לא סווג,מתקינים,,להמשיך לבדיקת תשתית ושטח,לא סווג כסוג יישוב ספציפי - ניתן לעריכה,דורש בדיקה,,,
אלי - עד,יישוב / לא סווג,מתקינים,,להמשיך לבדיקת תשתית ושטח,לא סווג כסוג יישוב ספציפי - ניתן לעריכה,דורש בדיקה,,,
אלי סיני,יישוב / לא סווג,מתקינים,,להמשיך לבדיקת תשתית ושטח,לא סווג כסוג יישוב ספציפי - ניתן לעריכה,דורש בדיקה,,,
אלי עד,יישוב / לא סווג,מתקינים,,להמשיך לבדיקת תשתית ושטח,לא סווג כסוג יישוב ספציפי - ניתן לעריכה,דורש בדיקה,,,
אלי-עד,יישוב / לא סווג,מתקינים,,להמשיך לבדיקת תשתית ושטח,לא סווג כסוג יישוב ספציפי - ניתן לעריכה,דורש בדיקה,,,
אליכין,יישוב / לא סווג,מתקינים,,להמשיך לבדיקת תשתית ושטח,לא סווג כסוג יישוב ספציפי - ניתן לעריכה,דורש בדיקה,,2,פברואר 2026
אליפז,יישוב דרומי,לא מתקינים,,לא לקדם,דרומית למצפה רמון / אילת,כלל אזורי,,,
אליפלט,יישוב / לא סווג,מתקינים,,להמשיך לבדיקת תשתית ושטח,לא סווג כסוג יישוב ספציפי - ניתן לעריכה,דורש בדיקה,,,
אליקים,יישוב / לא סווג,מתקינים,,להמשיך לבדיקת תשתית ושטח,לא סווג כסוג יישוב ספציפי - ניתן לעריכה,דורש בדיקה,,,
אלישיב,יישוב / לא סווג,מתקינים,,להמשיך לבדיקת תשתית ושטח,לא סווג כסוג יישוב ספציפי - ניתן לעריכה,דורש בדיקה,,,
אלישמע,מושב,מתקינים,,להמשיך לבדיקת תשתית ושטח,ברירת מחדל למושב שאינו חריג,סיווג ראשוני,,,
אלמגור,מושב,מתקינים,,להמשיך לבדיקת תשתית ושטח,ברירת מחדל למושב שאינו חריג,סיווג ראשוני,,,
אלמוג,התנחלות,מתקינים,,להמשיך לבדיקת תשתית ושטח,ברירת מחדל להתנחלות שאינה חריגה,סיווג ראשוני,,,
אלעד,עיר,מתקינים,,להמשיך לבדיקת תשתית ושטח,ברירת מחדל לעיר שאינה חריגה,סיווג ראשוני,,,
אלעזר,התנחלות,מתקינים,,להמשיך לבדיקת תשתית ושטח,ברירת מחדל להתנחלות שאינה חריגה,סיווג ראשוני,,,
אלפי מנשה,יישוב / לא סווג,מתקינים,,להמשיך לבדיקת תשתית ושטח,לא סווג כסוג יישוב ספציפי - ניתן לעריכה,דורש בדיקה,,3,מאי 2022
אלקוש,יישוב / לא סווג,מתקינים,,להמשיך לבדיקת תשתית ושטח,לא סווג כסוג יישוב ספציפי - ניתן לעריכה,דורש בדיקה,,,
אלקנה,התנחלות,מתקינים,,להמשיך לבדיקת תשתית ושטח,ברירת מחדל להתנחלות שאינה חריגה,סיווג ראשוני,,14,יוני 2024
אם א טלע,יישוב / לא סווג,מתקינים,,להמשיך לבדיקת תשתית ושטח,לא סווג כסוג יישוב ספציפי - ניתן לעריכה,דורש בדיקה,,,
אם אל גנם,יישוב / לא סווג,מתקינים,,להמשיך לבדיקת תשתית ושטח,לא סווג כסוג יישוב ספציפי - ניתן לעריכה,דורש בדיקה,,,
אם חשיבה,יישוב / לא סווג,מתקינים,,להמשיך לבדיקת תשתית ושטח,לא סווג כסוג יישוב ספציפי - ניתן לעריכה,דורש בדיקה,,,
אם סלמונה,יישוב / לא סווג,מתקינים,,להמשיך לבדיקת תשתית ושטח,לא סווג כסוג יישוב ספציפי - ניתן לעריכה,דורש בדיקה,,,
אם עלאס,יישוב / לא סווג,מתקינים,,להמשיך לבדיקת תשתית ושטח,לא סווג כסוג יישוב ספציפי - ניתן לעריכה,דורש בדיקה,,,
אם עסלה,יישוב / לא סווג,מתקינים,,להמשיך לבדיקת תשתית ושטח,לא סווג כסוג יישוב ספציפי - ניתן לעריכה,דורש בדיקה,,,
אם צפא,יישוב / לא סווג,מתקינים,,להמשיך לבדיקת תשתית ושטח,לא סווג כסוג יישוב ספציפי - ניתן לעריכה,דורש בדיקה,,,
אם קוצרי,יישוב / לא סווג,מתקינים,,להמשיך לבדיקת תשתית ושטח,לא סווג כסוג יישוב ספציפי - ניתן לעריכה,דורש בדיקה,,,
אמאתין,יישוב / לא סווג,מתקינים,,להמשיך לבדיקת תשתית ושטח,לא סווג כסוג יישוב ספציפי - ניתן לעריכה,דורש בדיקה,,,
אמונים,יישוב / לא סווג,מתקינים,,להמשיך לבדיקת תשתית ושטח,לא סווג כסוג יישוב ספציפי - ניתן לעריכה,דורש בדיקה,,,
אמירים,מושב,מתקינים,,להמשיך לבדיקת תשתית ושטח,ברירת מחדל למושב שאינו חריג,סיווג ראשוני,,2,מרץ 2024
אמנון,יישוב / לא סווג,מתקינים,,להמשיך לבדיקת תשתית ושטח,לא סווג כסוג יישוב ספציפי - ניתן לעריכה,דורש בדיקה,,,
אמציה,יישוב / לא סווג,מתקינים,,להמשיך לבדיקת תשתית ושטח,לא סווג כסוג יישוב ספציפי - ניתן לעריכה,דורש בדיקה,,,
אמריש,יישוב / לא סווג,מתקינים,,להמשיך לבדיקת תשתית ושטח,לא סווג כסוג יישוב ספציפי - ניתן לעריכה,דורש בדיקה,,,
אניעם,יישוב / לא סווג,מתקינים,,להמשיך לבדיקת תשתית ושטח,לא סווג כסוג יישוב ספציפי - ניתן לעריכה,דורש בדיקה,,,
אסד (שבט),כפר,לא מתקינים,,לא לקדם,יישוב ערבי,ויקיפדיה + הנחיית עבודה פנימית,,,
אסכאכא,יישוב / לא סווג,מתקינים,,להמשיך לבדיקת תשתית ושטח,לא סווג כסוג יישוב ספציפי - ניתן לעריכה,דורש בדיקה,,,
אספר,יישוב / לא סווג,מתקינים,,להמשיך לבדיקת תשתית ושטח,לא סווג כסוג יישוב ספציפי - ניתן לעריכה,דורש בדיקה,,,
אעבלין,כפר,לא מתקינים,,לא לקדם,יישוב ערבי,ויקיפדיה + הנחיית עבודה פנימית,,,
אעצם (שבט),כפר,לא מתקינים,,לא לקדם,יישוב ערבי,ויקיפדיה + הנחיית עבודה פנימית,,,
אפיניש (שבט),כפר,לא מתקינים,,לא לקדם,יישוב ערבי,ויקיפדיה + הנחיית עבודה פנימית,,,
אפיק,קיבוץ,מתקינים,,להמשיך לבדיקת תשתית ושטח,ברירת מחדל לקיבוץ שאינו חריג,סיווג ראשוני,,2,אפריל 2024
אפיקים,קיבוץ,מתקינים,,להמשיך לבדיקת תשתית ושטח,ברירת מחדל לקיבוץ שאינו חריג,סיווג ראשוני,,,
אפעל בית אב,יישוב / לא סווג,מתקינים,,להמשיך לבדיקת תשתית ושטח,לא סווג כסוג יישוב ספציפי - ניתן לעריכה,דורש בדיקה,,,
אפעל מרכז ס,יישוב / לא סווג,מתקינים,,להמשיך לבדיקת תשתית ושטח,לא סווג כסוג יישוב ספציפי - ניתן לעריכה,דורש בדיקה,,,
אפק,יישוב / לא סווג,מתקינים,,להמשיך לבדיקת תשתית ושטח,לא סווג כסוג יישוב ספציפי - ניתן לעריכה,דורש בדיקה,,,
אפרתה,יישוב / לא סווג,מתקינים,,להמשיך לבדיקת תשתית ושטח,לא סווג כסוג יישוב ספציפי - ניתן לעריכה,דורש בדיקה,,,
ארבל,יישוב / לא סווג,מתקינים,,להמשיך לבדיקת תשתית ושטח,לא סווג כסוג יישוב ספציפי - ניתן לעריכה,דורש בדיקה,,,
ארגמן,התנחלות,מתקינים,,להמשיך לבדיקת תשתית ושטח,ברירת מחדל להתנחלות שאינה חריגה,סיווג ראשוני,,,
ארז,קיבוץ,מתקינים,,להמשיך לבדיקת תשתית ושטח,ברירת מחדל לקיבוץ שאינו חריג,סיווג ראשוני,,,
ארטאס,יישוב / לא סווג,מתקינים,,להמשיך לבדיקת תשתית ושטח,לא סווג כסוג יישוב ספציפי - ניתן לעריכה,דורש בדיקה,,,
אריאל,עיר,מתקינים,,להמשיך לבדיקת תשתית ושטח,ברירת מחדל לעיר שאינה חריגה,סיווג ראשוני,,,
ארסוף,יישוב / לא סווג,מתקינים,,להמשיך לבדיקת תשתית ושטח,לא סווג כסוג יישוב ספציפי - ניתן לעריכה,דורש בדיקה,,,
ארתאח,יישוב / לא סווג,מתקינים,,להמשיך לבדיקת תשתית ושטח,לא סווג כסוג יישוב ספציפי - ניתן לעריכה,דורש בדיקה,,,
אשבול,יישוב / לא סווג,מתקינים,,להמשיך לבדיקת תשתית ושטח,לא סווג כסוג יישוב ספציפי - ניתן לעריכה,דורש בדיקה,,,
אשבל,יישוב / לא סווג,מתקינים,,להמשיך לבדיקת תשתית ושטח,לא סווג כסוג יישוב ספציפי - ניתן לעריכה,דורש בדיקה,,,
אשדוד,עיר,מתקינים,,להמשיך לבדיקת תשתית ושטח,ברירת מחדל לעיר שאינה חריגה,סיווג ראשוני,,3,יולי 2025
אשדות יעקב (איחוד),יישוב / לא סווג,מתקינים,,להמשיך לבדיקת תשתית ושטח,לא סווג כסוג יישוב ספציפי - ניתן לעריכה,דורש בדיקה,,,
אשדות יעקב (מאוחד),יישוב / לא סווג,מתקינים,,להמשיך לבדיקת תשתית ושטח,לא סווג כסוג יישוב ספציפי - ניתן לעריכה,דורש בדיקה,,,
אשחר,יישוב / לא סווג,מתקינים,,להמשיך לבדיקת תשתית ושטח,לא סווג כסוג יישוב ספציפי - ניתן לעריכה,דורש בדיקה,,,
אשכולות,התנחלות,מתקינים,,להמשיך לבדיקת תשתית ושטח,ברירת מחדל להתנחלות שאינה חריגה,סיווג ראשוני,,,
אשל הנשיא,יישוב / לא סווג,מתקינים,,להמשיך לבדיקת תשתית ושטח,לא סווג כסוג יישוב ספציפי - ניתן לעריכה,דורש בדיקה,,,
אשלים,יישוב / לא סווג,מתקינים,,להמשיך לבדיקת תשתית ושטח,לא סווג כסוג יישוב ספציפי - ניתן לעריכה,דורש בדיקה,,4,יולי 2023
